page_id,product,terminal,level,parent_id,title,route,primary_role,purpose,components,primary_actions,states,api_domains,priority,acceptance,is_leaf
PAGE-011,乐趣宝,PC与移动H5,4,PAGE-008,材料与来源,/bao/page-011,按页面权限,完成“材料与来源”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,merchant-intake;attachment;agent,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-012,乐趣宝,PC与移动H5,4,PAGE-008,身份与空间切换,/bao/page-012,按页面权限,完成“身份与空间切换”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,tenant;permission;business,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-013,乐趣宝,PC与移动H5,3,PAGE-001,商家资料对话,,按子页面权限,承载下级页面和统一导航,导航;分组;权限提示,进入下级页面,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,,P0,导航、路由和权限正确,false
PAGE-014,乐趣宝,PC与移动H5,4,PAGE-013,开始建档,/bao/page-014,商务与区县合作伙伴,完成“开始建档”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,merchant-intake;attachment;agent,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-015,乐趣宝,PC与移动H5,4,PAGE-013,材料与语音,/bao/page-015,按页面权限,完成“材料与语音”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,merchant-intake;attachment;agent,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-016,乐趣宝,PC与移动H5,4,PAGE-013,识别结果,/bao/page-016,按页面权限,完成“识别结果”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,merchant-intake;attachment;agent,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-017,乐趣宝,PC与移动H5,4,PAGE-013,缺项追问,/bao/page-017,按页面权限,完成“缺项追问”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,merchant-intake;attachment;agent,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-018,乐趣宝,PC与移动H5,4,PAGE-013,确认变更,/bao/page-018,按页面权限,完成“确认变更”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,tenant;permission;business,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-019,乐趣宝,PC与移动H5,5,PAGE-018,字段来源,/bao/page-019,按页面权限,完成“字段来源”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,merchant-intake;attachment;agent,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-020,乐趣宝,PC与移动H5,6,PAGE-019,原始材料,/bao/page-020,按页面权限,完成“原始材料”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,merchant-intake;attachment;agent,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-021,乐趣宝,PC与移动H5,4,PAGE-013,影响与发布,/bao/page-021,按页面权限,完成“影响与发布”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,tenant;permission;business,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-022,乐趣宝,PC与移动H5,2,,商务中心,,按子页面权限,承载下级页面和统一导航,导航;分组;权限提示,进入下级页面,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,,P0,导航、路由和权限正确,false
PAGE-023,乐趣宝,PC与移动H5,3,PAGE-022,商务首页,,按子页面权限,承载下级页面和统一导航,导航;分组;权限提示,进入下级页面,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,,P0,导航、路由和权限正确,false
PAGE-024,乐趣宝,PC与移动H5,4,PAGE-023,今日与收益,/bao/page-024,财务或审计角色,完成“今日与收益”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,subscription;entitlement;usage;revenue-share,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-025,乐趣宝,PC与移动H5,3,PAGE-022,商机管理,,按子页面权限,承载下级页面和统一导航,导航;分组;权限提示,进入下级页面,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,,P0,导航、路由和权限正确,false
PAGE-026,乐趣宝,PC与移动H5,4,PAGE-025,商机列表,/bao/page-026,商务与区县合作伙伴,完成“商机列表”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,搜索;筛选;打开详情,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,tenant;permission;business,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-027,乐趣宝,PC与移动H5,4,PAGE-025,商机详情,/bao/page-027,商务与区县合作伙伴,完成“商机详情”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,tenant;permission;business,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-028,乐趣宝,PC与移动H5,4,PAGE-025,重复与归属检查,/bao/page-028,按页面权限,完成“重复与归属检查”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,subscription;entitlement;usage;revenue-share,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-029,乐趣宝,PC与移动H5,3,PAGE-022,签约与开通,,按子页面权限,承载下级页面和统一导航,导航;分组;权限提示,进入下级页面,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,,P0,导航、路由和权限正确,false
PAGE-030,乐趣宝,PC与移动H5,4,PAGE-029,套餐报价,/bao/page-030,按页面权限,完成“套餐报价”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,subscription;entitlement;usage;revenue-share,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-031,乐趣宝,PC与移动H5,4,PAGE-029,合同与收款,/bao/page-031,按页面权限,完成“合同与收款”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,tenant;permission;business,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-032,乐趣宝,PC与移动H5,3,PAGE-022,商户归属权,,按子页面权限,承载下级页面和统一导航,导航;分组;权限提示,进入下级页面,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,,P0,导航、路由和权限正确,false
PAGE-033,乐趣宝,PC与移动H5,4,PAGE-032,永久收益权,/bao/page-033,商务人员;总部财务,查看绑定商户、受益人、永久状态和规则版本,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;申诉;发起转让,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,attribution;revenue-right,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-034,乐趣宝,PC与移动H5,4,PAGE-032,多人内部比例,/bao/page-034,按页面权限,完成“多人内部比例”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,tenant;permission;business,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-035,乐趣宝,PC与移动H5,4,PAGE-032,争议与转让,/bao/page-035,按页面权限,完成“争议与转让”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,tenant;permission;business,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-036,乐趣宝,PC与移动H5,3,PAGE-022,收益账户,,按子页面权限,承载下级页面和统一导航,导航;分组;权限提示,进入下级页面,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,,P0,导航、路由和权限正确,false
PAGE-037,乐趣宝,PC与移动H5,4,PAGE-036,月度收益总览,/bao/page-037,财务或审计角色,完成“月度收益总览”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,subscription;entitlement;usage;revenue-share,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-038,乐趣宝,PC与移动H5,4,PAGE-036,商户收益明细,/bao/page-038,商务人员,查看订阅实收、直接成本、可分配收益和本人份额,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看成本;查看规则;申诉,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,subscription;cost;revenue-share,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-039,乐趣宝,PC与移动H5,5,PAGE-038,直接成本明细,/bao/page-039,商务人员;总部财务,逐项查看可以对应到商户和服务月份的直接成本,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看凭证;申请复核,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,cost-allocation;audit,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-040,乐趣宝,PC与移动H5,6,PAGE-039,成本凭证,/bao/page-040,财务或审计角色,完成“成本凭证”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,subscription;entitlement;usage;revenue-share,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-041,乐趣宝,PC与移动H5,4,PAGE-036,待结与已结,/bao/page-041,按页面权限,完成“待结与已结”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,tenant;permission;business,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-042,乐趣宝,PC与移动H5,4,PAGE-036,退款冲回,/bao/page-042,按页面权限,完成“退款冲回”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,order;payment;fulfillment;aftersale,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-043,乐趣宝,PC与移动H5,4,PAGE-036,收益申诉,/bao/page-043,财务或审计角色,完成“收益申诉”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,subscription;entitlement;usage;revenue-share,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-044,乐趣宝,PC与移动H5,3,PAGE-022,续费管理,,按子页面权限,承载下级页面和统一导航,导航;分组;权限提示,进入下级页面,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,,P0,导航、路由和权限正确,false
PAGE-045,乐趣宝,PC与移动H5,4,PAGE-044,续费列表,/bao/page-045,按页面权限,完成“续费列表”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,搜索;筛选;打开详情,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,tenant;permission;business,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-046,乐趣宝,PC与移动H5,4,PAGE-044,续费详情,/bao/page-046,按页面权限,完成“续费详情”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,tenant;permission;business,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-047,乐趣宝,PC与移动H5,2,,商户交付,,按子页面权限,承载下级页面和统一导航,导航;分组;权限提示,进入下级页面,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,,P0,导航、路由和权限正确,false
PAGE-048,乐趣宝,PC与移动H5,3,PAGE-047,线索与签约,,按子页面权限,承载下级页面和统一导航,导航;分组;权限提示,进入下级页面,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,,P0,导航、路由和权限正确,false
PAGE-049,乐趣宝,PC与移动H5,4,PAGE-048,商户线索,/bao/page-049,商务与区县合作伙伴,完成“商户线索”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,tenant;permission;business,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-050,乐趣宝,PC与移动H5,4,PAGE-048,订阅开通,/bao/page-050,按页面权限,完成“订阅开通”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,subscription;entitlement;usage;revenue-share,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-051,乐趣宝,PC与移动H5,3,PAGE-047,一键交付,,按子页面权限,承载下级页面和统一导航,导航;分组;权限提示,进入下级页面,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,,P0,导航、路由和权限正确,false
PAGE-052,乐趣宝,PC与移动H5,4,PAGE-051,新建交付任务,/bao/page-052,商务与区县合作伙伴,完成“新建交付任务”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,tenant;permission;business,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-053,乐趣宝,PC与移动H5,4,PAGE-051,交付任务详情,/bao/page-053,商务;商户管理员,跟踪一键交付的步骤、等待、失败和人工待办,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,暂停;重试;继续;生成回执,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,delivery;job;receipt,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-054,乐趣宝,PC与移动H5,4,PAGE-051,商户确认页,/bao/page-054,按页面权限,完成“商户确认页”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,tenant;permission;business,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-055,乐趣宝,PC与移动H5,4,PAGE-051,交付验收与回执,/bao/page-055,商务与区县合作伙伴,完成“交付验收与回执”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,tenant;permission;business,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-056,乐趣宝,PC与移动H5,3,PAGE-047,小程序发布,,按子页面权限,承载下级页面和统一导航,导航;分组;权限提示,进入下级页面,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,,P0,导航、路由和权限正确,false
PAGE-057,乐趣宝,PC与移动H5,4,PAGE-056,小程序实例,/bao/page-057,按页面权限,完成“小程序实例”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,miniapp;wechat-open;release,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-058,乐趣宝,PC与移动H5,4,PAGE-056,微信授权,/bao/page-058,商户管理员,完成商家管理员对微信第三方平台的官方授权,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,扫码授权;刷新权限;撤销连接,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,wechat-open;secret,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-059,乐趣宝,PC与移动H5,4,PAGE-056,名称与类目,/bao/page-059,按页面权限,完成“名称与类目”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,tenant;permission;business,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-060,乐趣宝,PC与移动H5,4,PAGE-056,模板配置,/bao/page-060,按页面权限,完成“模板配置”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,miniapp;wechat-open;release,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-061,乐趣宝,PC与移动H5,4,PAGE-056,体验版预览,/bao/page-061,按页面权限,完成“体验版预览”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,miniapp;wechat-open;release,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-062,乐趣宝,PC与移动H5,4,PAGE-056,审核驳回处理,/bao/page-062,按页面权限,完成“审核驳回处理”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,miniapp;wechat-open;release,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-063,乐趣宝,PC与移动H5,4,PAGE-056,审核与发布,/bao/page-063,商户管理员,提交微信审核，并在通过后由商家确认发布,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,提交审核;查看结果;发布;暂停,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,miniapp-release;wechat-open,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-064,乐趣宝,PC与移动H5,5,PAGE-063,审核详情,/bao/page-064,按页面权限,完成“审核详情”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,miniapp;wechat-open;release,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-065,乐趣宝,PC与移动H5,6,PAGE-064,驳回原因与修正,/bao/page-065,按页面权限,完成“驳回原因与修正”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,tenant;permission;business,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-066,乐趣宝,PC与移动H5,4,PAGE-056,版本升级与回滚,/bao/page-066,按页面权限,完成“版本升级与回滚”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,tenant;permission;business,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-067,乐趣宝,PC与移动H5,3,PAGE-047,GEO服务,,按子页面权限,承载下级页面和统一导航,导航;分组;权限提示,进入下级页面,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,,P0,导航、路由和权限正确,false
PAGE-068,乐趣宝,PC与移动H5,4,PAGE-067,商家主档,/bao/page-068,按页面权限,完成“商家主档”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,tenant;permission;business,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-069,乐趣宝,PC与移动H5,4,PAGE-067,渠道发布状态,/bao/page-069,商户管理员;商务,展示资料发布与可访问性，不承诺外部收录或排名,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,授权;发布;验证;重试,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,geo;adapter,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-070,乐趣宝,PC与移动H5,4,PAGE-067,一致性巡检,/bao/page-070,按页面权限,完成“一致性巡检”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,tenant;permission;business,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
PAGE-071,乐趣宝,PC与移动H5,3,PAGE-047,工作台开通,,按子页面权限,承载下级页面和统一导航,导航;分组;权限提示,进入下级页面,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,,P0,导航、路由和权限正确,false
PAGE-072,乐趣宝,PC与移动H5,4,PAGE-071,组织与员工,/bao/page-072,商户管理员,完成“组织与员工”相关的查看、处理与异常恢复,标题;筛选与搜索;内容区;状态反馈;主要操作;帮助与审计入口,查看;编辑或处理;确认;返回,默认;加载中;空数据;局部错误;无权限;停用;成功;可恢复失败,tenant;permission;business,P0,主任务可完成;异常可恢复;权限不越界;关键操作有反馈;事件已埋点,true
